parent_id,child_id,link_type,evidence
form:menu_bfo000,form:dati_legno,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_mandrini,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:dati_retail,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:desnew,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:elenco,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:email,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:insert_articoli_doc,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:menu_barcode,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:menu_carica_barcode,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:orfddtselr,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:orfposelr,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:orfposelrc,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:orfposelrm,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:resddtselr,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:tagcol00,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,form:valo000,OPENS_FORM,menu_bfo000.scx
form:menu_bfo000,prg:bfostam,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,prg:browseview,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,prg:ecommerce_esporta_disponibilita_prodotti_card,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,prg:menusta,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,prg:menusta1,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,prg:nullo,CALLS_PRG,menu_bfo000.scx
form:menu_bfo000,web:Consultazione: templates ddt-fornitore/list+detail; endpoint GET /ddt-fornitore (ORD_TIPO=9 badge Reso da cliente; righe con ordine fornitore ORC e fattura fornitore MOV_NUMFAT),MIGRATED_TO,tracker: Form1
form:menu_bfoannu,form:elenco,OPENS_FORM,menu_bfoannu.scx
form:menu_bfoannu,prg:browseview,CALLS_PRG,menu_bfoannu.scx
form:menu_bfoelen,prg:menusta,CALLS_PRG,menu_bfoelen.scx
