object_id,file,object_type,name,description,new_location
form:menu_agg_dett_cespiti,form/menu_agg_dett_cespiti.scx,FORM,menu_agg_dett_cespiti,Aggiornamento automatico dettagli Cespiti da Movimenti Contabili,
form:menu_aggregaconti,form/menu_aggregaconti.scx,FORM,menu_aggregaconti,Gestione contratti per studi professionali,
form:menu_aggregadupli,form/menu_aggregadupli.scx,FORM,menu_aggregadupli,Duplicazione aggregati conti commesse,
form:menu_aggregannu,form/menu_aggregannu.scx,FORM,menu_aggregannu,Annullo aggregati conti commesse,
form:menu_agn000,form/menu_agn000.scx,FORM,menu_agn000,Gestione agenda telefonica,
form:menu_allebil,form/menu_allebil.scx,FORM,menu_allebil,Allegati di bilancio,
form:menu_ammcat,form/menu_ammcat.scx,FORM,menu_ammcat,Gestione categorie cespiti,GET /cespiti/categorie (consultazione con riepilogo per categoria)
form:menu_ammces,form/menu_ammces.scx,FORM,menu_ammces,Gestione anagrafica cespite,GET /cespiti/{id} copre la consultazione
form:menu_anabil,form/menu_anabil.scx,FORM,menu_anabil,Analisi dati di bilancio con controllo e gestione prime note,
form:menu_anace,form/menu_anace.scx,FORM,menu_anace,Elenco anagrafica cespiti,GET /cespiti
form:menu_anagrafica_curit,form/menu_anagrafica_curit.scx,FORM,menu_anagrafica_curit,,
form:menu_analmp,form/menu_analmp.scx,FORM,menu_analmp,Analisi sulla congruenza dei carichi di magazzino da fornitore,
form:menu_annicont,form/menu_annicont.scx,FORM,menu_annicont,Apertura anni contabili,
form:menu_art000,form/menu_art000.scx,FORM,menu_art000,Anagrafica articoli,controller ArticleController#detail; entity Article (lettura via JPA); entity Article#code; template articoli/list.html col Codice; entity Article#description; entity Article#extendedDescription; entity Article#extension; entity Article#obsolete; badge Obsoleto in lista e dettaglio; entity Article#salePrice1..5; template articoli/detail.html card Prezzi; entity Article#shortDescription; entity Article#standardCost; entity Article#supplierCode (solo fornitore abituale); entity Article#vatCode; template articoli/detail.html (card Anagrafica/Prezzi/Classificazione/Magazzino); template articoli/list.html + articoli/detail.html; endpoint GET /articoli
form:menu_art_import_xls,form/menu_art_import_xls.scx,FORM,menu_art_import_xls,Importazione anagrafica articoli da file excel,
